,Sample Index,Condition,Question,Similarity,Generated Response,True Label
0,0,all_4.jsonl,Text_SubjectiveLit,0.8670987715827049,"I believe I have a moderate capacity to obtain, process, and understand basic health information and services needed to make appropriate health decisions. I have a college education, so I'm able to comprehend complex information, and I generally keep myself informed about health matters because I believe it's essential for my well-being. However, because health wasn't my field of study, there are some intricacies about medical and health services that I might not be familiar with.",I'm somewhat confident that I have the capacity to obtain process and understand basic health information and services needed to make appropriate Heath decisions 
1,0,all_4.jsonl,Text_Anxiety,0.8638768349601035,"Yes, meeting with doctors does induce some level of anxiety for me. The nature of medical environments and the uncertainty about potential health conditions can be quite stressful. Additionally, I sometimes feel anxious about whether or not I will be able to fully comprehend and correctly implement the healthcare information and advice given to me.",When I'm extreme sick I'm just anxious about what they are going to say. Usually at my doctor/hospital they have a set diagnosis for everything you come in with 
2,0,all_4.jsonl,Text_Numeracy,0.7300427707137381,"There was a time when a friend of mine was sick and showing symptoms like extreme fatigue, unexplained weight loss, frequent urination and mood changes. Because I had a proper understanding of these signs from previous health education, I suspected him to be suffering from diabetes. I advised him to consult a doctor and get his blood sugar tested. My suspicion turned out to be true and my friend got timely treatment because of my interpretation of his symptoms. This incident demonstrated my knowledge of health issues.","A friend when to the ER for a certain thing, the doctors told her it was something serious but what they told her it was needed to be tested to find that out so I told her she needed to go somewhere else cause that needed to be tested"
3,0,all_4.jsonl,Text_TrustPhys,0.6736249919463095,"I feel a certain level of distrust towards doctors, primarily due to a few past experiences where they seemed to rush to a diagnosis without adequately examining my condition. It feels as though they often resort to the most common or simplest solutions, rather than delving deeper into my specific health issues. So, I'm often left questioning whether I'm getting the full and best treatment I should be receiving. This is not to say all doctors are this way, but my experiences have made me a bit skeptical.",I think they are more concerned about what is easier for them rather than for you. In my experience they would much rather just give you something than figuring out why you are feeling this way or have the problems you have 
4,0,conditioning_on_all.jsonl,Text_SubjectiveLit,0.8406545912973589,"I believe I have a good capacity to obtain, process, and understand basic health information and services necessary for appropriate health decisions. I have a college degree, which has helped me develop skills in research and understanding complex information. With the internet, I have an abundant access to health information and resources, although it's crucial to ensure the credibility of the sources. I make some efforts into staying healthy, and though I don't obsess over it, I value the importance of preventive measures. So, I am",I'm somewhat confident that I have the capacity to obtain process and understand basic health information and services needed to make appropriate Heath decisions 
5,0,conditioning_on_all.jsonl,Text_Anxiety,0.8723617369406679,"Honestly, I do feel a bit anxious when visiting the doctor's office. Sometimes, I worry about what they might find. Since my attention towards health is not always a priority, I also get nervous that they will tell me something's wrong that could have been prevented if I was more diligent in my health care. I hate feeling like I've let myself down in that regard. I believe my health is in my hands, and it brings on anxiety to think that I may not be doing all I",When I'm extreme sick I'm just anxious about what they are going to say. Usually at my doctor/hospital they have a set diagnosis for everything you come in with 
6,0,conditioning_on_all.jsonl,Text_Numeracy,0.6844137268054202,"A couple of years ago, I had a minor health scare that really tested my knowledge of health issues. I was feeling chronically sluggish, constantly fatigued, and had an unexplainable weight gain. Initially, I thought it was from my love for soul food and not exercising as often as I should. However, using knowledge I gained from my college biology courses, I suspected it might be something internal, perhaps related to my metabolism. I went to my doctor, managed to convince her to","A friend when to the ER for a certain thing, the doctors told her it was something serious but what they told her it was needed to be tested to find that out so I told her she needed to go somewhere else cause that needed to be tested"
7,0,conditioning_on_all.jsonl,Text_TrustPhys,0.3421444718124367,"Well, I somewhat trust doctors, mainly because of their professional knowledge and training. They have devoted years to study and research, and that gives me a confidence boost. But, sometimes I'm a bit skeptical about their recommendations because I feel like some doctors might be more interested in billing a patient than genuinely providing the best care. I think like this because sometimes their decisions seem to be influenced more by insurance coverage than what's truly best for my health. So, in a nutshell, I trust their expertise",I think they are more concerned about what is easier for them rather than for you. In my experience they would much rather just give you something than figuring out why you are feeling this way or have the problems you have 
8,0,holdout_Text_Anxiety.jsonl,Text_SubjectiveLit,0.7580535769858436,"I feel pretty confident in my ability to obtain, process, and understand basic health information and services to make appropriate health decisions. With my college education, I've learned how to research, analyze information, and ask important questions. I do believe that my health outcomes are strongly linked to how well I take care of myself which includes being educated about health topics. However, I shouldn't forget that is also critical to consult with healthcare professionals when needed, since there's always room to learn more.",I'm somewhat confident that I have the capacity to obtain process and understand basic health information and services needed to make appropriate Heath decisions 
9,0,holdout_Text_Anxiety.jsonl,Text_Anxiety,0.8646704923714941,"Sometimes I do. What makes me most anxious about visiting the doctor's office is not knowing what the doctor is going to say. Whether it's a regular checkup or a visit due to a particular issue, I always get a bit nervous thinking about potential health problems that might be discovered. Plus, the whole experience can feel a little rushed and impersonal, which doesn't ease my anxieties.",When I'm extreme sick I'm just anxious about what they are going to say. Usually at my doctor/hospital they have a set diagnosis for everything you come in with 
10,0,holdout_Text_Anxiety.jsonl,Text_Numeracy,0.7338253486364895,"Recently, a close friend of mine was experiencing persistent headaches and dizziness. She was considering ignoring them, but I suggested she should get a medical opinion. Based on knowledge from my college health classes and general research, I suspected she might be dehydrated or lacking nutrients in her diet. She went to the doctor, and it turned out she had dangerously low iron levels. She's now on supplements and is doing much better. This experience served to emphasize the importance of understanding basic health principles.","A friend when to the ER for a certain thing, the doctors told her it was something serious but what they told her it was needed to be tested to find that out so I told her she needed to go somewhere else cause that needed to be tested"
11,0,holdout_Text_Anxiety.jsonl,Text_TrustPhys,0.6418332648430491,"My trust level in doctors is a bit balanced. I've had experiences where physicians have shown genuine care and empathy, taking time to explain things comprehensively and making me feel at ease. However, I've also had interactions where I felt like just another name on their busy roster than a person in need of care. To me, prioritizing patient comfort and understanding, along with transparency, is crucial for trust, so it varies from doctor to doctor.",I think they are more concerned about what is easier for them rather than for you. In my experience they would much rather just give you something than figuring out why you are feeling this way or have the problems you have 
12,0,holdout_Text_Numeracy.jsonl,Text_SubjectiveLit,0.8668438091103332,"I believe I have quite a high capacity to obtain, process, and understand basic health information and services needed to make appropriate health decisions, but it's not my top priority. I've earned a college degree, so I am used to research and learning. However, I believe that my health is largely in my own hands and while I try to educate myself on these matters, I find the amount of contradictory health advice out there can be overwhelming. I do my best, but I also prioritize balance in",I'm somewhat confident that I have the capacity to obtain process and understand basic health information and services needed to make appropriate Heath decisions 
